Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1[15:0],design_1_i/system_ila_0/inst/probe2_1[15:0],design_1_i/system_ila_0/inst/probe3_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX,HEX
990,990,0,1,-11737,b488,b463
991,991,0,1,-11737,b488,b463
992,992,0,1,-11737,b488,b463
993,993,0,1,-11737,b488,b463
994,994,0,1,-11737,b488,b463
995,995,0,1,-11737,b488,b463
996,996,0,1,-11737,b488,b463
997,997,0,1,-11737,b488,b463
998,998,0,1,-11737,b488,b463
999,999,0,1,-11737,b488,b463
1000,1000,0,1,-11737,b488,b463
1001,1001,0,1,-11992,b488,b266
1002,1002,0,1,-11992,b488,b266
1003,1003,0,1,-11992,b488,b266
1004,1004,0,1,-11992,b18d,b167
1005,1005,0,1,-11992,b18d,b167
1006,1006,0,1,-11992,b18d,b167
1007,1007,0,1,-12247,b18d,b167
1008,1008,0,1,-12247,b18d,b167
1009,1009,0,1,-12247,b18d,b167
1010,1010,0,1,-12247,b18d,b167
1011,1011,0,1,-12247,b18d,b167
1012,1012,0,1,-12247,b18d,b167
1013,1013,0,1,-12247,b18d,b167
1014,1014,0,1,-12247,b18d,b167
1015,1015,0,1,-12247,b18d,b167
1016,1016,0,1,-12502,b18d,b068
1017,1017,0,1,-12502,b18d,b068
1018,1018,0,1,-12502,b18d,b068
1019,1019,0,1,-12502,af91,ae6b
1020,1020,0,1,-12502,af91,ae6b
1021,1021,0,1,-12502,af91,ae6b
1022,1022,0,1,-12757,ae92,ae6b
1023,1023,0,1,-12757,ae92,ae6b
